Date,High,Market Cap
"Sep 24, 2019",9804.32,"154,785,821,876"
"Sep 23, 2019",10074.24,"174,674,558,023"
"Sep 22, 2019",10074.44,"180,784,051,699"
"Sep 21, 2019",10188.10,"179,853,287,294"
"Sep 20, 2019",10285.87,"182,738,947,696"
"Sep 19, 2019",10295.67,"184,240,949,577"
"Sep 18, 2019",10275.93,"182,998,899,156"
"Sep 17, 2019",10296.77,"183,748,515,828"
"Sep 16, 2019",10386.87,"184,366,827,555"
"Sep 15, 2019",10387.03,"185,618,174,384"
"Sep 14, 2019",10422.13,"185,784,300,332"
"Sep 13, 2019",10441.49,"185,809,163,035"
"Sep 12, 2019",10442.25,"186,678,943,059"
"Sep 11, 2019",10215.95,"182,502,788,242"
"Sep 10, 2019",10394.35,"181,360,731,383"
"Sep 09, 2019",10450.31,"185,263,578,990"
"Sep 08, 2019",10595.64,"187,150,078,007"
"Sep 07, 2019",10558.67,"188,488,525,926"
"Sep 06, 2019",10898.76,"185,530,405,363"
"Sep 05, 2019",10627.27,"189,492,405,383"
"Sep 04, 2019",10762.64,"189,810,010,608"
"Sep 03, 2019",10736.10,"190,312,487,956"
"Sep 02, 2019",10396.59,"185,333,114,163"
"Sep 01, 2019",9796.76,"174,768,292,883"
"Aug 31, 2019",9673.22,"172,470,743,516"
"Aug 30, 2019",9656.12,"171,869,216,524"
"Aug 29, 2019",9756.79,"170,274,910,132"
"Aug 28, 2019",10279.37,"174,627,460,400"
"Aug 27, 2019",10381.33,"182,325,540,955"
"Aug 26, 2019",10512.33,"185,625,235,889"
"Aug 25, 2019",10304.62,"181,450,186,164"
"Aug 24, 2019",10418.02,"181,813,631,752"
"Aug 23, 2019",10442.44,"186,231,409,722"
"Aug 22, 2019",10233.00,"181,257,125,783"
"Aug 21, 2019",10798.73,"181,364,502,142"
"Aug 20, 2019",10947.04,"192,530,283,565"
"Aug 19, 2019",10916.05,"195,243,306,008"
"Aug 18, 2019",10487.07,"185,022,920,955"
"Aug 17, 2019",10452.62,"182,966,857,173"
"Aug 16, 2019",10524.35,"185,500,055,339"
"Aug 15, 2019",10437.41,"184,357,666,577"
"Aug 14, 2019",10889.56,"179,692,803,424"
